epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,975.784,0.38587,0.31935,0.79629,0.88565,0.68611,0.66512,0.55748,0.34888,0.40106,0.81037,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239
81,987.672,0.38399,0.31342,0.80806,0.88565,0.68611,0.66512,0.55748,0.34888,0.40106,0.81037,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
82,999.641,0.40761,0.33666,0.82025,0.88455,0.68611,0.66512,0.56012,0.34704,0.39493,0.81026,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233
83,1011.71,0.40328,0.34045,0.79934,0.89688,0.68611,0.66559,0.56042,0.34658,0.39366,0.80986,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
84,1023.8,0.43833,0.4264,0.86262,0.89465,0.68611,0.66536,0.55743,0.34813,0.39279,0.81025,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226
85,1035.82,0.40416,0.31935,0.79564,0.89465,0.68611,0.66536,0.55743,0.34813,0.39279,0.81025,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
86,1048.08,0.44639,0.35124,0.81653,0.88638,0.68611,0.66512,0.5626,0.34783,0.38958,0.80973,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
87,1060.33,0.40263,0.33547,0.79178,0.88087,0.69006,0.66505,0.56173,0.346,0.38422,0.81035,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
88,1072.34,0.43431,0.3397,0.79061,0.87839,0.69473,0.66519,0.56185,0.35076,0.3853,0.81263,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213
89,1084.23,0.40572,0.32765,0.80611,0.87839,0.69473,0.66519,0.56185,0.35076,0.3853,0.81263,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
90,1096.5,0.39381,0.30497,0.7885,0.87511,0.69473,0.66507,0.56298,0.34915,0.38164,0.81273,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206
91,1108.64,0.38639,0.35414,0.79805,0.86482,0.69473,0.65677,0.56005,0.34871,0.37835,0.81107,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
92,1120.78,0.39167,0.31848,0.79887,0.85325,0.69473,0.65559,0.56153,0.34797,0.37392,0.80939,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652
93,1132.92,0.37594,0.30845,0.77566,0.85325,0.69473,0.65559,0.56153,0.34797,0.37392,0.80939,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
94,1145.3,0.3752,0.32042,0.80572,0.84888,0.69473,0.6537,0.55842,0.35079,0.37688,0.81026,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193
95,1157.47,0.40649,0.34912,0.78559,0.8491,0.69473,0.65369,0.55506,0.35027,0.37517,0.81053,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
96,1169.77,0.38931,0.31592,0.78628,0.85059,0.69473,0.6543,0.55435,0.35231,0.37338,0.81093,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
97,1181.83,0.3562,0.28967,0.79187,0.85059,0.69473,0.6543,0.55435,0.35231,0.37338,0.81093,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
98,1194.05,0.36039,0.28448,0.77584,0.85209,0.69473,0.65198,0.55259,0.35368,0.37285,0.811,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05
99,1206.2,0.35116,0.28307,0.78615,0.88661,0.68002,0.65189,0.54897,0.35502,0.37365,0.81164,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
100,1218.62,0.37485,0.29395,0.79201,0.88439,0.68002,0.65234,0.54893,0.35456,0.37237,0.81093,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05
